,Origin,Destination,Total_pax,Connected_at
150,LFPG,EFRO,0.0,LIRF
151,LFPG,EHEH,0.0,LIRF
152,LFPG,EFHK,0.0,LIRF
153,LFPG,LDZA,0.0,LIRF
154,LFPG,EBBR,0.0,LIRF
155,LFPG,EIDW,0.0,LIRF
156,LFPG,LGAV,0.0,LIRF
157,LFPG,BIKF,0.0,LIRF
158,LFPG,EETN,0.0,LIRF
159,LFPG,LKPR,0.0,LIRF
160,LFPG,FACT,0.0,LIRF
161,LFPG,ESSA,0.0,LIRF
162,LFPG,EGPH,0.0,LIRF
163,LFPG,LFQQ,0.0,LIRF
164,LFPG,LPPT,0.0,LIRF
165,SAEZ,LIRF,0.0,LIRF
166,SAEZ,EDDT,0.0,LIRF
167,SAEZ,RJAA,0.0,LIRF
168,SAEZ,EDDM,0.0,LIRF
169,SAEZ,LFPG,0.0,LIRF
170,SAEZ,SAEZ,-0.0,LIRF
171,SAEZ,CYYZ,0.0,LIRF
172,SAEZ,MMMX,0.0,LIRF
173,SAEZ,CYVR,0.0,LIRF
174,SAEZ,EDDF,0.0,LIRF
175,SAEZ,KJFK,0.0,LIRF
176,SAEZ,SBGL,0.0,LIRF
177,SAEZ,LEMD,0.0,LIRF
178,SAEZ,ZSPD,0.0,LIRF
179,SAEZ,OMDB,0.0,LIRF
180,SAEZ,LTFM,0.0,LIRF
181,SAEZ,ZBAA,0.0,LIRF
182,SAEZ,VIDP,0.0,LIRF
183,SAEZ,EFRO,0.0,LIRF
184,SAEZ,EHEH,0.0,LIRF
185,SAEZ,EFHK,0.0,LIRF
186,SAEZ,LDZA,0.0,LIRF
187,SAEZ,EBBR,0.0,LIRF
188,SAEZ,EIDW,0.0,LIRF
189,SAEZ,LGAV,0.0,LIRF
190,SAEZ,BIKF,0.0,LIRF
191,SAEZ,EETN,0.0,LIRF
192,SAEZ,LKPR,0.0,LIRF
193,SAEZ,FACT,0.0,LIRF
194,SAEZ,ESSA,0.0,LIRF
195,SAEZ,EGPH,0.0,LIRF
196,SAEZ,LFQQ,0.0,LIRF
197,SAEZ,LPPT,0.0,LIRF
198,CYYZ,LIRF,0.0,LIRF
199,CYYZ,EDDT,0.0,LIRF
200,CYYZ,RJAA,0.0,LIRF
201,CYYZ,EDDM,0.0,LIRF
202,CYYZ,LFPG,0.0,LIRF
203,CYYZ,SAEZ,0.0,LIRF
204,CYYZ,CYYZ,-0.0,LIRF
205,CYYZ,MMMX,0.0,LIRF
206,CYYZ,CYVR,0.0,LIRF
207,CYYZ,EDDF,0.0,LIRF
208,CYYZ,KJFK,0.0,LIRF
209,CYYZ,SBGL,0.0,LIRF
210,CYYZ,LEMD,0.0,LIRF
211,CYYZ,ZSPD,0.0,LIRF
212,CYYZ,OMDB,0.0,LIRF
213,CYYZ,LTFM,0.0,LIRF
214,CYYZ,ZBAA,0.0,LIRF
215,CYYZ,VIDP,0.0,LIRF
216,CYYZ,EFRO,0.0,LIRF
217,CYYZ,EHEH,0.0,LIRF
218,CYYZ,EFHK,0.0,LIRF
219,CYYZ,LDZA,0.0,LIRF
220,CYYZ,EBBR,0.0,LIRF
221,CYYZ,EIDW,0.0,LIRF
222,CYYZ,LGAV,0.0,LIRF
223,CYYZ,BIKF,0.0,LIRF
224,CYYZ,EETN,0.0,LIRF
225,CYYZ,LKPR,0.0,LIRF
226,CYYZ,FACT,0.0,LIRF
227,CYYZ,ESSA,0.0,LIRF
228,CYYZ,EGPH,0.0,LIRF
229,CYYZ,LFQQ,0.0,LIRF
230,CYYZ,LPPT,0.0,LIRF
231,MMMX,LIRF,0.0,LIRF
232,MMMX,EDDT,0.0,LIRF
233,MMMX,RJAA,0.0,LIRF
234,MMMX,EDDM,0.0,LIRF
235,MMMX,LFPG,0.0,LIRF
236,MMMX,SAEZ,0.0,LIRF
237,MMMX,CYYZ,0.0,LIRF
238,MMMX,MMMX,-0.0,LIRF
239,MMMX,CYVR,0.0,LIRF
240,MMMX,EDDF,0.0,LIRF
241,MMMX,KJFK,0.0,LIRF
242,MMMX,SBGL,0.0,LIRF
243,MMMX,LEMD,0.0,LIRF
244,MMMX,ZSPD,0.0,LIRF
245,MMMX,OMDB,0.0,LIRF
246,MMMX,LTFM,0.0,LIRF
247,MMMX,ZBAA,0.0,LIRF
248,MMMX,VIDP,0.0,LIRF
249,MMMX,EFRO,0.0,LIRF
250,MMMX,EHEH,0.0,LIRF
251,MMMX,EFHK,0.0,LIRF
252,MMMX,LDZA,0.0,LIRF
253,MMMX,EBBR,0.0,LIRF
254,MMMX,EIDW,0.0,LIRF
255,MMMX,LGAV,0.0,LIRF
256,MMMX,BIKF,0.0,LIRF
257,MMMX,EETN,0.0,LIRF
258,MMMX,LKPR,0.0,LIRF
259,MMMX,FACT,0.0,LIRF
260,MMMX,ESSA,0.0,LIRF
261,MMMX,EGPH,0.0,LIRF
262,MMMX,LFQQ,0.0,LIRF
263,MMMX,LPPT,0.0,LIRF
264,CYVR,LIRF,0.0,LIRF
265,CYVR,EDDT,0.0,LIRF
266,CYVR,RJAA,0.0,LIRF
267,CYVR,EDDM,0.0,LIRF
268,CYVR,LFPG,0.0,LIRF
269,CYVR,SAEZ,0.0,LIRF
270,CYVR,CYYZ,0.0,LIRF
271,CYVR,MMMX,0.0,LIRF
272,CYVR,CYVR,-0.0,LIRF
273,CYVR,EDDF,0.0,LIRF
274,CYVR,KJFK,0.0,LIRF
275,CYVR,SBGL,0.0,LIRF
276,CYVR,LEMD,0.0,LIRF
277,CYVR,ZSPD,0.0,LIRF
278,CYVR,OMDB,0.0,LIRF
279,CYVR,LTFM,0.0,LIRF
280,CYVR,ZBAA,0.0,LIRF
281,CYVR,VIDP,0.0,LIRF
282,CYVR,EFRO,0.0,LIRF
283,CYVR,EHEH,0.0,LIRF
284,CYVR,EFHK,0.0,LIRF
285,CYVR,LDZA,0.0,LIRF
286,CYVR,EBBR,0.0,LIRF
287,CYVR,EIDW,0.0,LIRF
288,CYVR,LGAV,0.0,LIRF
289,CYVR,BIKF,0.0,LIRF
290,CYVR,EETN,0.0,LIRF
291,CYVR,LKPR,0.0,LIRF
292,CYVR,FACT,0.0,LIRF
293,CYVR,ESSA,0.0,LIRF
294,CYVR,EGPH,0.0,LIRF
295,CYVR,LFQQ,0.0,LIRF
296,CYVR,LPPT,0.0,LIRF
297,EDDF,LIRF,0.0,LIRF
298,EDDF,EDDT,0.0,LIRF
299,EDDF,RJAA,0.0,LIRF
300,EDDF,EDDM,0.0,LIRF
301,EDDF,LFPG,0.0,LIRF
302,EDDF,SAEZ,0.0,LIRF
303,EDDF,CYYZ,0.0,LIRF
304,EDDF,MMMX,0.0,LIRF
305,EDDF,CYVR,0.0,LIRF
306,EDDF,EDDF,-0.0,LIRF
307,EDDF,KJFK,0.0,LIRF
308,EDDF,SBGL,0.0,LIRF
309,EDDF,LEMD,0.0,LIRF
310,EDDF,ZSPD,0.0,LIRF
311,EDDF,OMDB,0.0,LIRF
312,EDDF,LTFM,0.0,LIRF
313,EDDF,ZBAA,0.0,LIRF
314,EDDF,VIDP,0.0,LIRF
315,EDDF,EFRO,0.0,LIRF
316,EDDF,EHEH,0.0,LIRF
317,EDDF,EFHK,0.0,LIRF
318,EDDF,LDZA,0.0,LIRF
319,EDDF,EBBR,0.0,LIRF
320,EDDF,EIDW,0.0,LIRF
321,EDDF,LGAV,0.0,LIRF
322,EDDF,BIKF,0.0,LIRF
323,EDDF,EETN,0.0,LIRF
324,EDDF,LKPR,0.0,LIRF
325,EDDF,FACT,0.0,LIRF
326,EDDF,ESSA,0.0,LIRF
327,EDDF,EGPH,0.0,LIRF
328,EDDF,LFQQ,0.0,LIRF
329,EDDF,LPPT,0.0,LIRF
330,KJFK,LIRF,0.0,LIRF
331,KJFK,EDDT,0.0,LIRF
332,KJFK,RJAA,0.0,LIRF
333,KJFK,EDDM,0.0,LIRF
334,KJFK,LFPG,0.0,LIRF
335,KJFK,SAEZ,0.0,LIRF
336,KJFK,CYYZ,0.0,LIRF
337,KJFK,MMMX,0.0,LIRF
338,KJFK,CYVR,0.0,LIRF
339,KJFK,EDDF,0.0,LIRF
340,KJFK,KJFK,-0.0,LIRF
341,KJFK,SBGL,0.0,LIRF
342,KJFK,LEMD,0.0,LIRF
343,KJFK,ZSPD,0.0,LIRF
344,KJFK,OMDB,0.0,LIRF
345,KJFK,LTFM,0.0,LIRF
346,KJFK,ZBAA,0.0,LIRF
347,KJFK,VIDP,0.0,LIRF
348,KJFK,EFRO,0.0,LIRF
349,KJFK,EHEH,0.0,LIRF
350,KJFK,EFHK,0.0,LIRF
351,KJFK,LDZA,0.0,LIRF
352,KJFK,EBBR,0.0,LIRF
353,KJFK,EIDW,0.0,LIRF
354,KJFK,LGAV,0.0,LIRF
355,KJFK,BIKF,0.0,LIRF
356,KJFK,EETN,0.0,LIRF
357,KJFK,LKPR,0.0,LIRF
358,KJFK,FACT,0.0,LIRF
359,KJFK,ESSA,0.0,LIRF
360,KJFK,EGPH,0.0,LIRF
361,KJFK,LFQQ,0.0,LIRF
362,KJFK,LPPT,0.0,LIRF
363,SBGL,LIRF,0.0,LIRF
364,SBGL,EDDT,0.0,LIRF
365,SBGL,RJAA,0.0,LIRF
366,SBGL,EDDM,0.0,LIRF
367,SBGL,LFPG,0.0,LIRF
368,SBGL,SAEZ,0.0,LIRF
369,SBGL,CYYZ,0.0,LIRF
