,Origin,Destination,Total_flights
192,SAEZ,LKPR,0.0
193,SAEZ,FACT,0.0
194,SAEZ,ESSA,0.0
195,SAEZ,EGPH,0.0
196,SAEZ,LFQQ,0.0
197,SAEZ,LPPT,0.0
198,CYYZ,LIRF,1.0
199,CYYZ,EDDT,0.0
200,CYYZ,RJAA,1.0
201,CYYZ,EDDM,0.0
202,CYYZ,LFPG,-0.0
203,CYYZ,SAEZ,0.0
204,CYYZ,CYYZ,0.0
205,CYYZ,MMMX,-0.0
206,CYYZ,CYVR,0.0
207,CYYZ,EDDF,0.0
208,CYYZ,KJFK,1.0
209,CYYZ,SBGL,1.0
210,CYYZ,LEMD,0.0
211,CYYZ,ZSPD,1.0
212,CYYZ,OMDB,0.0
213,CYYZ,LTFM,1.0
214,CYYZ,ZBAA,1.0
215,CYYZ,VIDP,1.0
216,CYYZ,EFRO,0.0
217,CYYZ,EHEH,0.0
218,CYYZ,EFHK,0.0
219,CYYZ,LDZA,0.0
220,CYYZ,EBBR,0.0
221,CYYZ,EIDW,0.0
222,CYYZ,LGAV,0.0
223,CYYZ,BIKF,0.0
224,CYYZ,EETN,0.0
225,CYYZ,LKPR,0.0
226,CYYZ,FACT,0.0
227,CYYZ,ESSA,0.0
228,CYYZ,EGPH,0.0
229,CYYZ,LFQQ,0.0
230,CYYZ,LPPT,0.0
231,MMMX,LIRF,1.0
232,MMMX,EDDT,0.0
233,MMMX,RJAA,1.0
234,MMMX,EDDM,0.0
235,MMMX,LFPG,1.0
236,MMMX,SAEZ,1.0
237,MMMX,CYYZ,0.0
238,MMMX,MMMX,0.0
239,MMMX,CYVR,0.0
240,MMMX,EDDF,0.0
241,MMMX,KJFK,1.0
242,MMMX,SBGL,1.0
243,MMMX,LEMD,1.0
244,MMMX,ZSPD,0.0
245,MMMX,OMDB,0.0
246,MMMX,LTFM,1.0
247,MMMX,ZBAA,0.0
248,MMMX,VIDP,0.0
249,MMMX,EFRO,0.0
250,MMMX,EHEH,0.0
251,MMMX,EFHK,0.0
252,MMMX,LDZA,0.0
253,MMMX,EBBR,0.0
254,MMMX,EIDW,0.0
255,MMMX,LGAV,0.0
256,MMMX,BIKF,0.0
257,MMMX,EETN,0.0
258,MMMX,LKPR,0.0
259,MMMX,FACT,0.0
260,MMMX,ESSA,0.0
261,MMMX,EGPH,0.0
262,MMMX,LFQQ,0.0
263,MMMX,LPPT,0.0
264,CYVR,LIRF,0.0
265,CYVR,EDDT,0.0
266,CYVR,RJAA,1.0
267,CYVR,EDDM,0.0
268,CYVR,LFPG,0.0
269,CYVR,SAEZ,0.0
270,CYVR,CYYZ,0.0
271,CYVR,MMMX,0.0
