,level_0,level_1,LIRF,EDDT,RJAA,EDDM,LFPG,SAEZ,CYYZ,MMMX,CYVR,EDDF,KJFK,SBGL,LEMD,ZSPD,OMDB,LTFM,ZBAA,VIDP,EFRO,EHEH,EFHK,LDZA,EBBR,EIDW,LGAV,BIKF,EETN,LKPR,FACT,ESSA,EGPH,LFQQ,LPPT
0,AC_1,LIRF,420.0,2807.747272954198,20151.17475031601,1874.7275653575173,2613.916379363419,22539.634233788587,14536.615957949709,20766.475491861398,18355.112273324437,2329.2059971075305,14099.139870339917,18600.067537333212,3068.566855324851,18683.54035230218,9060.019192691561,3155.2722452021385,16655.110356686273,12232.840950456475,6148.0127731374105,2796.3377827303934,4867.649968622143,1488.426684648446,2755.846018552247,4176.694998947095,2580.902248714278,6994.538337005364,4684.993707850538,2285.3092445053903,17134.34778154507,4447.588745312609,4272.702281476027,2811.3619395666756,4081.9719774121536
1,AC_1,EDDT,2807.747272954198,600.0,26042.48933267543,1961.9593647904753,3020.273584573086,34407.296488290216,19040.258716572847,28214.474151792503,23318.945947527114,1827.824926704183,18722.89731214637,28922.840865630962,5867.818410180217,24576.438242189477,13764.03567144928,5466.948762216848,21540.26452555554,17050.72618818676,5441.0009616309835,2180.079480819237,3782.8440202853894,2827.748104578128,2402.5946830092685,4326.023475444043,5775.943494907625,7373.304690487126,3569.349240185157,1399.7940775967086,27849.319196096963,2984.5724575475515,3853.2300379393164,2699.115591472454,7145.054890921529
2,AC_1,RJAA,20151.17475031601,26042.48933267543,600.0,27251.536565148075,28226.544400861196,52556.085407634346,29902.002333273704,32593.29779953298,21950.41494625519,27250.440265678124,31407.023327086685,53184.381606194074,31241.78946272765,5704.447996421859,23288.994895008185,26149.717778415194,6668.509562714595,17406.271851580655,21573.13245930423,27268.248028919,22877.33143864099,27269.342911930096,27512.070097626398,27888.6341493909,27718.668466523122,25637.6328979408,23075.71943730763,26499.435704730888,42547.59314264389,23849.92629289851,26934.862392094918,27754.252316913255,32327.76683533431
3,AC_1,EDDM,1874.7275653575173,1961.9593647904753,27251.536565148075,600.0,2540.372833656886,33381.20540882197,19499.39163113407,28588.454449106186,24342.77817317177,1450.5404089179947,19044.82393016816,27835.545813006614,4855.81801965526,25572.303022712007,13566.228937491474,5002.255121017247,22576.79140606356,17377.375764984317,6797.642314268998,2230.9318370201,5076.81002358092,1837.6739139356418,2298.194121700716,4531.284576203778,4911.026190647905,8195.621930254922,4841.069841007792,1352.7532427613453,26553.360070813942,4343.581756300101,4384.361824099374,2517.1385038604085,6239.922521556185
4,AC_1,LFPG,2613.916379363419,3020.273584573086,28226.544400861196,2540.372833656886,600.0,32036.17022073851,17731.643107176747,26750.72535496879,23161.88746853949,1878.1557623349295,17202.287786883266,26600.40924384418,3621.8184917376684,26961.385679143346,15487.237619401878,6898.444391768947,23908.057248860427,19272.843270506048,7309.927758685533,1559.2689651674843,5993.10732867758,3670.968569187212,1314.480920986739,2832.8461109468085,6594.958366808351,6930.207730044216,5829.181194579654,3027.366784896746,27078.477673450318,4977.4437496965475,3068.8052301637435,1103.4642866513054,4775.092927580261
5,AC_1,SAEZ,22539.634233788587,34407.296488290216,52556.085407634346,33381.20540882197,32036.17022073851,600.0,26009.27080506817,21539.484990809407,32623.592659712376,33181.84104135152,24727.452408900033,6261.677252530077,29155.598271557337,56221.01602732882,39415.60275535985,35377.37746033454,55342.41621459475,45441.566756678956,38241.2902713792,32976.31434356477,37387.73855929388,33645.56248153724,32728.585164057782,31815.498706481092,33838.834024623015,33043.566689999134,37249.7454927698,34119.80942978833,20188.339758932285,36296.442908337005,32762.83690037345,32452.024362273667,27867.529946267132
6,AC_1,CYYZ,14536.615957949709,19040.258716572847,29902.002333273704,19499.39163113407,17731.643107176747,26009.27080506817,600.0,9807.238765176126,10123.99615094886,18654.638275527752,2269.6882551307413,24004.472104084405,17841.909427540966,33065.15418860767,32110.4586787042,23854.0360636413,30647.662247370143,33701.65912490705,18373.5296575093,17878.093453958812,19385.392779245136,20728.15321005014,17802.508473640824,15572.095903753125,23726.547065427054,12559.893853427004,19533.23758162019,19622.908044722095,37854.21493278793,18568.045342946727,15807.823515566004,17605.036849884164,16931.393743976194
7,AC_1,MMMX,20766.475491861398,28214.474151792503,32593.29779953298,28588.454449106186,26750.72535496879,21539.484990809407,9807.238765176126,600.0,11785.438719977192,27755.000131726276,10148.538626385453,22332.36472344677,26376.67545099506,37259.61920013605,41317.634235624886,32979.659750197716,35950.34945499716,42263.113638714,27401.648363781424,26987.397911040836,28546.513066664145,29799.492129623304,26892.17521725942,24661.020342789976,32711.59958136255,21758.183034530623,28706.380570739548,28766.590855914983,39527.107552306865,27762.385026693955,24967.29155246844,26675.229526289753,25232.517760965136
8,AC_1,CYVR,18355.112273324437,23318.945947527114,21950.41494625519,24342.77817317177,23161.88746853949,32623.592659712376,10123.99615094886,11785.438719977192,600.0,23553.020913213695,11783.072200102702,32385.771382357503,24581.96523150901,26248.7756420546,33971.32942114056,27888.443427157465,24767.087843764704,32280.358064358144,20189.15122820348,22835.78108140137,21971.970458137956,25497.77041809378,22884.667743825994,20999.0448405285,28488.58445688418,16836.660508688976,22228.175205610045,24095.533714849906,47325.04693374463,21705.609304787213,20724.03858831758,22818.56905175863,24187.906758252524
9,AC_1,EDDF,2329.2059971075305,1827.824926704183,27250.440265678124,1450.5404089179947,1878.1557623349295,33181.84104135152,18654.638275527752,27755.000131726276,23553.020913213695,600.0,18215.114084217028,27695.179062616582,4640.248065040682,25798.84531405456,14360.051583843398,5826.62174160816,22766.34407057064,18006.459776147767,6515.238494457037,1380.4692303804836,4974.792108008792,2688.2009546184795,1467.3580611347356,3693.9855507437114,5758.419985196397,7371.826068639137,4775.7293379850835,1756.7716068530153,27161.045025773037,4077.115304671409,3538.3756350301073,1718.3378039811098,5925.367031483898
