,ICAO Code_origin,ICAO Code_destination,City Name_origin,City Name_destination,Origin,Destination,Direct_flights,Transfer_flights,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,OD_pair,Total pax,Total flights
20,LIRF,EFHK,Rome,Helsinki,POINT (12.239712 41.77354),POINT (24.9633 60.3172),"LINESTRING (12.239712 41.77354, 24.9633 60.3172)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 24.9633 60.3172)",-0.0,0.0,0.0,-0.0,0,EFHK_LIRF,0.0,0.0
21,LIRF,LDZA,Rome,Zagreb,POINT (12.239712 41.77354),POINT (16.0675 45.7407),"LINESTRING (12.239712 41.77354, 16.0675 45.7407)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 16.0675 45.7407)",-0.0,-0.0,0.0,-0.0,0,LDZA_LIRF,0.0,0.0
22,LIRF,EBBR,Rome,Brussels,POINT (12.239712 41.77354),POINT (4.4859 50.9002),"LINESTRING (12.239712 41.77354, 4.4859 50.9002)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 4.4859 50.9002)",-0.0,0.0,0.0,-0.0,0,EBBR_LIRF,0.0,0.0
23,LIRF,EIDW,Rome,Dublin,POINT (12.239712 41.77354),POINT (-6.2701 53.4213),"LINESTRING (12.239712 41.77354, -6.2701 53.4213)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -6.2701 53.4213)",-0.0,0.0,0.0,-0.0,0,EIDW_LIRF,0.0,0.0
24,LIRF,LGAV,Rome,Athens,POINT (12.239712 41.77354),POINT (23.948 37.9362),"LINESTRING (12.239712 41.77354, 23.948 37.9362)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 23.948 37.9362)",-0.0,-0.0,0.0,-0.0,0,LGAV_LIRF,0.0,0.0
25,LIRF,BIKF,Rome,Reykjavik,POINT (12.239712 41.77354),POINT (-21.9466 64.1318),"LINESTRING (12.239712 41.77354, -21.9466 64.1318)","LINESTRING (12.239712 41.77354, 2.55 49.0128, -21.9466 64.1318)",0.0,0.0,0.0,0.0,0,BIKF_LIRF,0.0,0.0
26,LIRF,EETN,Rome,Tallinn,POINT (12.239712 41.77354),POINT (24.8165 59.4144),"LINESTRING (12.239712 41.77354, 24.8165 59.4144)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 24.8165 59.4144)",0.0,0.0,0.0,0.0,0,EETN_LIRF,0.0,0.0
27,LIRF,LKPR,Rome,Parague,POINT (12.239712 41.77354),POINT (14.2632 50.1018),"LINESTRING (12.239712 41.77354, 14.2632 50.1018)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 14.2632 50.1018)",0.0,0.0,0.0,0.0,0,LIRF_LKPR,0.0,0.0
28,LIRF,FACT,Rome,Cape town,POINT (12.239712 41.77354),POINT (18.6021 -33.9715),"LINESTRING (12.239712 41.77354, 18.6021 -33.9715)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,0,FACT_LIRF,0.0,0.0
29,LIRF,ESSA,Rome,Stockholm,POINT (12.239712 41.77354),POINT (17.9186 59.6519),"LINESTRING (12.239712 41.77354, 17.9186 59.6519)","LINESTRING (12.239712 41.77354, 2.55 49.0128, 17.9186 59.6519)",-0.0,0.0,0.0,-0.0,0,ESSA_LIRF,0.0,0.0
